K_target,M,converged,solve_status,residual_linf,residual_l2,residual_l1_nu,weighted_coeff_l1_nu,tail_ratio_top_10pct,estimated_strip_width,estimated_nu_from_decay,max_abs_u,max_abs_r,continuation_success_count,continuation_total_count,elapsed_seconds,output_npz,record_path
0.01,32,True,converged-target,2.284413977426958e-14,1.610581536708927e-14,2.5209556924776324e-14,0.0004662086322919841,3.6314804134602557e-16,,,0.0004580246701777578,0.6188858883496204,4,4,0.010874509811401367,artifacts/proof_audit/theorem_iii_trackb/phase1_seed_sanity/embeddings/K0p0100000000_M32_steps4.npz,artifacts/proof_audit/theorem_iii_trackb/phase1_seed_sanity/records/K0p0100000000_M32_steps4.json
0.01,64,True,converged-target,6.993104012531504e-18,4.456691611686622e-18,1.0670402022749595e-17,0.0004662086323704999,4.966955461278551e-16,,,0.0004580246702506935,0.6188858883495804,4,4,0.010825157165527344,artifacts/proof_audit/theorem_iii_trackb/phase1_seed_sanity/embeddings/K0p0100000000_M64_steps4.npz,artifacts/proof_audit/theorem_iii_trackb/phase1_seed_sanity/records/K0p0100000000_M64_steps4.json
0.05,32,True,converged-target,9.645279366865545e-15,5.723494128259721e-15,1.3780832370025366e-14,0.0023582368338203987,7.451752235442397e-16,3.2861004747187863,26.738393055709725,0.0022889572220911956,0.6222586320445903,4,4,0.014279842376708984,artifacts/proof_audit/theorem_iii_trackb/phase1_seed_sanity/embeddings/K0p0500000000_M32_steps4.npz,artifacts/proof_audit/theorem_iii_trackb/phase1_seed_sanity/records/K0p0500000000_M32_steps4.json
0.05,64,True,converged-target,9.643544643389568e-15,5.7229680478999595e-15,1.3785155387311559e-14,0.002358236833820411,6.226845406313557e-16,3.286262697600471,26.74273098672916,0.002288957222091202,0.6222586320445903,4,4,0.01464080810546875,artifacts/proof_audit/theorem_iii_trackb/phase1_seed_sanity/embeddings/K0p0500000000_M64_steps4.npz,artifacts/proof_audit/theorem_iii_trackb/phase1_seed_sanity/records/K0p0500000000_M64_steps4.json
