K,M_in,M_out,oversample,cutoff_mode,converged_oversampled,solve_status,oversampled_residual_linf,projected_residual_linf,core_residual_linf,weighted_projected_residual_l1_nu,weighted_core_residual_l1_nu,weighted_u_l1_nu,elapsed_seconds,output_npz,record_path
0.971635,4096,4096,4,1365,False,max-newton-reached,2.645561047454059e-07,2.6399141583397246e-07,2.6926696050401377e-05,3.388958950355006e-05,0.005023035917420962,0.1036760725912636,80.73309278488159,artifacts/proof_audit/theorem_iii_trackb/phase4f_lsq_polish_M4096_os4_cutoffs_from_os2/embeddings/K0p9716350000_M4096_lsqdealias4_cut1365_fromM1024.npz,artifacts/proof_audit/theorem_iii_trackb/phase4f_lsq_polish_M4096_os4_cutoffs_from_os2/records/K0p9716350000_M4096_lsqdealias4_cut1365_fromM1024.phase4f_lsq_polish.json
0.971635,4096,4096,4,1536,False,max-newton-reached,4.6885137522378884e-08,4.052020997027324e-08,4.955754000890433e-06,1.3469384539527105e-05,0.001166541556490588,0.10316178043607008,81.34905529022217,artifacts/proof_audit/theorem_iii_trackb/phase4f_lsq_polish_M4096_os4_cutoffs_from_os2/embeddings/K0p9716350000_M4096_lsqdealias4_cut1536_fromM1024.npz,artifacts/proof_audit/theorem_iii_trackb/phase4f_lsq_polish_M4096_os4_cutoffs_from_os2/records/K0p9716350000_M4096_lsqdealias4_cut1536_fromM1024.phase4f_lsq_polish.json
0.971635,4096,4096,4,1843,False,max-newton-reached,2.5904153932998497e-08,1.537251124604371e-08,1.3877214059543341e-06,9.180805787174102e-06,0.000631122301666104,0.10624149826058138,82.36416101455688,artifacts/proof_audit/theorem_iii_trackb/phase4f_lsq_polish_M4096_os4_cutoffs_from_os2/embeddings/K0p9716350000_M4096_lsqdealias4_cut1843_fromM1024.npz,artifacts/proof_audit/theorem_iii_trackb/phase4f_lsq_polish_M4096_os4_cutoffs_from_os2/records/K0p9716350000_M4096_lsqdealias4_cut1843_fromM1024.phase4f_lsq_polish.json
0.971635,4096,4096,4,1945,False,stalled-small-step,1.5457722463141366e-08,6.533454489420473e-09,1.6525503766795513e-07,5.967115336615601e-06,0.00013113336540775879,0.10624311181356028,33.29455614089966,artifacts/proof_audit/theorem_iii_trackb/phase4f_lsq_polish_M4096_os4_cutoffs_from_os2/embeddings/K0p9716350000_M4096_lsqdealias4_cut1945_fromM1024.npz,artifacts/proof_audit/theorem_iii_trackb/phase4f_lsq_polish_M4096_os4_cutoffs_from_os2/records/K0p9716350000_M4096_lsqdealias4_cut1945_fromM1024.phase4f_lsq_polish.json
