K,M,nu,cutoff_spec,cutoff_mode_native_units,grid_factor,grid_size,radius,scalar_residual_linf,derivative_residual_linf,residual_l1_nu_total,derivative_l1_nu_total,small_divisor_min_denominator,small_divisor_min_mode,cohomology_inverse_linf_resolved,Y_component_bound,Z_component_bound,Q_component_bound,tail_residual_component_bound,upper_triangular_defect_linf_max,a21_linf,twist_average,twist_min,twist_max,radii_lhs_component_bound,radii_margin_component,radii_relative_margin_component,dominant_component_term,recommendation_label,recommendation_score,record_path,npz_path
0.971635,8192,1.001,frac:0.90,3685,4,32768,3e-05,1.6712769965697427e-09,2.0148552565046884e-05,1.7675716947256176e-08,0.00017249651417733627,0.0010874325336761744,-2584,919.5972798601124,1.4357853289476562e-07,0.16579431022331523,384.32547455442636,4.1728655772837755e-09,0.00017170488259665717,0.00017170488259665717,1.4650834088702989,-0.23879527226646968,7.293471926245841,5.4674736322704905e-06,2.453252636772951e-05,0.817750878924317,Zr_bound,component_ready_candidate,5,artifacts/proof_audit/theorem_iii_trackb/phase5b_interval_components_selected_seed_tail075/records/K0p9716350000_M8192_nu1p001_frac0p90_g4_r3em05.phase5b_interval_component.json,artifacts/proof_audit/theorem_iii_trackb/phase4i_selected_seed/K0p9716350000_M8192_H1_SELECTED.npz
0.971635,8192,1.001,frac:0.95,3890,4,32768,3e-05,1.6712769965697427e-09,2.0148552565046884e-05,1.7675716947256176e-08,0.00017249651417733627,0.0010874325336761744,-2584,919.5972798601124,1.4359442903288926e-07,0.16579431022331523,384.32547455442636,4.17055232534167e-09,0.00017170488259665717,0.00017170488259665717,1.4650834088702989,-0.23879527226646968,7.293471926245841,5.467487215156672e-06,2.453251278484333e-05,0.8177504261614443,Zr_bound,component_ready_candidate,5,artifacts/proof_audit/theorem_iii_trackb/phase5b_interval_components_selected_seed_tail075/records/K0p9716350000_M8192_nu1p001_frac0p95_g4_r3em05.phase5b_interval_component.json,artifacts/proof_audit/theorem_iii_trackb/phase4i_selected_seed/K0p9716350000_M8192_H1_SELECTED.npz
0.971635,8192,1.001,frac:0.98,4013,4,32768,3e-05,1.6712769965697427e-09,2.0148552565046884e-05,1.7675716947256176e-08,0.00017249651417733627,0.0010874325336761744,-2584,919.5972798601124,1.4361666778993982e-07,0.16579431022331523,384.32547455442636,4.168223847105263e-09,0.00017170488259665717,0.00017170488259665717,1.4650834088702989,-0.23879527226646968,7.293471926245841,5.467507125435486e-06,2.4532492874564514e-05,0.8177497624854838,Zr_bound,component_ready_candidate,5,artifacts/proof_audit/theorem_iii_trackb/phase5b_interval_components_selected_seed_tail075/records/K0p9716350000_M8192_nu1p001_frac0p98_g4_r3em05.phase5b_interval_component.json,artifacts/proof_audit/theorem_iii_trackb/phase4i_selected_seed/K0p9716350000_M8192_H1_SELECTED.npz
0.971635,8192,1.001,full,4095,4,32768,3e-05,1.6712769965697427e-09,2.0148552565046884e-05,1.7675716947256176e-08,0.00017249651417733627,0.0010874325336761744,-2584,919.5972798601124,1.4363489668599533e-07,0.16579431022331523,384.32547455442636,4.166626171005572e-09,0.00017170488259665717,0.00017170488259665717,1.4650834088702989,-0.23879527226646968,7.293471926245841,5.467523756655442e-06,2.453247624334456e-05,0.8177492081114853,Zr_bound,component_ready_candidate,5,artifacts/proof_audit/theorem_iii_trackb/phase5b_interval_components_selected_seed_tail075/records/K0p9716350000_M8192_nu1p001_full_g4_r3em05.phase5b_interval_component.json,artifacts/proof_audit/theorem_iii_trackb/phase4i_selected_seed/K0p9716350000_M8192_H1_SELECTED.npz
0.971635,8192,1.001,frac:0.90,3685,4,32768,1e-05,1.6712769965697427e-09,2.0148552565046884e-05,1.7675716947256176e-08,0.00017249651417733627,0.0010874325336761744,-2584,919.5972798601124,1.4357853289476562e-07,0.16579431022331523,384.32547455442636,4.1728655772837755e-09,0.00017170488259665717,0.00017170488259665717,1.4650834088702989,-0.23879527226646968,7.293471926245841,1.8441270481606444e-06,8.155872951839357e-06,0.8155872951839357,Zr_bound,component_ready_candidate,5,artifacts/proof_audit/theorem_iii_trackb/phase5b_interval_components_selected_seed_tail075/records/K0p9716350000_M8192_nu1p001_frac0p90_g4_r1em05.phase5b_interval_component.json,artifacts/proof_audit/theorem_iii_trackb/phase4i_selected_seed/K0p9716350000_M8192_H1_SELECTED.npz
0.971635,8192,1.001,frac:0.95,3890,4,32768,1e-05,1.6712769965697427e-09,2.0148552565046884e-05,1.7675716947256176e-08,0.00017249651417733627,0.0010874325336761744,-2584,919.5972798601124,1.4359442903288926e-07,0.16579431022331523,384.32547455442636,4.17055232534167e-09,0.00017170488259665717,0.00017170488259665717,1.4650834088702989,-0.23879527226646968,7.293471926245841,1.844140631046826e-06,8.155859368953175e-06,0.8155859368953174,Zr_bound,component_ready_candidate,5,artifacts/proof_audit/theorem_iii_trackb/phase5b_interval_components_selected_seed_tail075/records/K0p9716350000_M8192_nu1p001_frac0p95_g4_r1em05.phase5b_interval_component.json,artifacts/proof_audit/theorem_iii_trackb/phase4i_selected_seed/K0p9716350000_M8192_H1_SELECTED.npz
0.971635,8192,1.001,frac:0.98,4013,4,32768,1e-05,1.6712769965697427e-09,2.0148552565046884e-05,1.7675716947256176e-08,0.00017249651417733627,0.0010874325336761744,-2584,919.5972798601124,1.4361666778993982e-07,0.16579431022331523,384.32547455442636,4.168223847105263e-09,0.00017170488259665717,0.00017170488259665717,1.4650834088702989,-0.23879527226646968,7.293471926245841,1.84416054132564e-06,8.15583945867436e-06,0.815583945867436,Zr_bound,component_ready_candidate,5,artifacts/proof_audit/theorem_iii_trackb/phase5b_interval_components_selected_seed_tail075/records/K0p9716350000_M8192_nu1p001_frac0p98_g4_r1em05.phase5b_interval_component.json,artifacts/proof_audit/theorem_iii_trackb/phase4i_selected_seed/K0p9716350000_M8192_H1_SELECTED.npz
0.971635,8192,1.001,full,4095,4,32768,1e-05,1.6712769965697427e-09,2.0148552565046884e-05,1.7675716947256176e-08,0.00017249651417733627,0.0010874325336761744,-2584,919.5972798601124,1.4363489668599533e-07,0.16579431022331523,384.32547455442636,4.166626171005572e-09,0.00017170488259665717,0.00017170488259665717,1.4650834088702989,-0.23879527226646968,7.293471926245841,1.844177172545596e-06,8.155822827454405e-06,0.8155822827454404,Zr_bound,component_ready_candidate,5,artifacts/proof_audit/theorem_iii_trackb/phase5b_interval_components_selected_seed_tail075/records/K0p9716350000_M8192_nu1p001_full_g4_r1em05.phase5b_interval_component.json,artifacts/proof_audit/theorem_iii_trackb/phase4i_selected_seed/K0p9716350000_M8192_H1_SELECTED.npz
0.971635,8192,1.001,frac:0.90,3685,4,32768,3e-06,1.6712769965697427e-09,2.0148552565046884e-05,1.7675716947256176e-08,0.00017249651417733627,0.0010874325336761744,-2584,919.5972798601124,1.4357853289476562e-07,0.16579431022331523,384.32547455442636,4.1728655772837755e-09,0.00017170488259665717,0.00017170488259665717,1.4650834088702989,-0.23879527226646968,7.293471926245841,6.485932584129849e-07,2.3514067415870153e-06,0.7838022471956717,Zr_bound,component_ready_candidate,5,artifacts/proof_audit/theorem_iii_trackb/phase5b_interval_components_selected_seed_tail075/records/K0p9716350000_M8192_nu1p001_frac0p90_g4_r3em06.phase5b_interval_component.json,artifacts/proof_audit/theorem_iii_trackb/phase4i_selected_seed/K0p9716350000_M8192_H1_SELECTED.npz
0.971635,8192,1.001,frac:0.95,3890,4,32768,3e-06,1.6712769965697427e-09,2.0148552565046884e-05,1.7675716947256176e-08,0.00017249651417733627,0.0010874325336761744,-2584,919.5972798601124,1.4359442903288926e-07,0.16579431022331523,384.32547455442636,4.17055232534167e-09,0.00017170488259665717,0.00017170488259665717,1.4650834088702989,-0.23879527226646968,7.293471926245841,6.486068412991664e-07,2.351393158700834e-06,0.7837977195669446,Zr_bound,component_ready_candidate,5,artifacts/proof_audit/theorem_iii_trackb/phase5b_interval_components_selected_seed_tail075/records/K0p9716350000_M8192_nu1p001_frac0p95_g4_r3em06.phase5b_interval_component.json,artifacts/proof_audit/theorem_iii_trackb/phase4i_selected_seed/K0p9716350000_M8192_H1_SELECTED.npz
