K,M,base_scalar_residual_linf,base_embedding_residual_linf_max_lift_aware,base_lift_residual_matches_scalar_linf,base_tangent_residual_linf_max,base_upper_triangular_defect_linf_max,best_full_case,best_full_grid_size,best_full_scalar_residual_linf,best_full_tangent_residual_linf_max,best_full_upper_triangular_defect_linf_max,best_any_case,best_any_cutoff_mode,best_any_scalar_residual_linf,best_any_tangent_residual_linf_max,best_any_upper_triangular_defect_linf_max,twist_average_base,frame_det_defect_base,recommendation_label,recommendation_score,npz_path,record_path
0.9685,256,1.0262901639634947e-12,1.0265122085684197e-12,3.608224830031759e-16,0.0010092791935623069,0.019269743949379636,L256_full,256,1.0262901639634947e-12,0.0010092791935623069,0.019269743949379636,L256_full,,1.0262901639634947e-12,0.0010092791935623069,0.019269743949379636,1.2533047912329418,0.0193984870757119,needs_high_resolution_refinement,1,artifacts/proof_audit/theorem_iii_trackb/phase1_seed/embeddings/K0p9685000000_M256_steps44.npz,artifacts/proof_audit/theorem_iii_trackb/phase4b_lift_alias/records/K0p9685000000_M256_steps44.phase4b_lift_alias_audit.json
0.9685,1024,1.442942987317508e-14,1.4654943925052066e-14,4.0245584642661925e-16,0.0001072326947354485,0.004593620050831526,L4096_full,4096,3.2546296713231726e-08,0.00010723269467383112,0.0002160058788680981,L4096_full,,3.2546296713231726e-08,0.00010723269467383112,0.0002160058788680981,1.2769160664381565,0.004562135692460112,needs_high_resolution_refinement,1,artifacts/proof_audit/theorem_iii_trackb/phase1_seed/embeddings/K0p9685000000_M1024_steps44.npz,artifacts/proof_audit/theorem_iii_trackb/phase4b_lift_alias/records/K0p9685000000_M1024_steps44.phase4b_lift_alias_audit.json
0.969,128,3.635980405647388e-15,3.6637359812630166e-15,3.885780586188048e-16,0.004732428749858242,0.021484571847587786,L512_full,512,1.1265538806844513e-05,0.004732428749847584,0.015521916686545012,L512_full,,1.1265538806844513e-05,0.004732428749847584,0.015521916686545012,1.2268668488911199,0.020830810963974544,needs_high_resolution_refinement,1,artifacts/proof_audit/theorem_iii_trackb/phase1_seed/embeddings/K0p9690000000_M128_steps44.npz,artifacts/proof_audit/theorem_iii_trackb/phase4b_lift_alias/records/K0p9690000000_M128_steps44.phase4b_lift_alias_audit.json
0.969,256,1.2242706848297757e-12,1.2242429292541601e-12,3.122502256758253e-16,0.001082833708062475,0.02076377303092347,L512_full,512,1.3187955143489916e-06,0.0010828337080462103,0.0038638480677750664,L512_full,,1.3187955143489916e-06,0.0010828337080462103,0.0038638480677750664,1.2580351438812294,0.020892253816388928,needs_high_resolution_refinement,1,artifacts/proof_audit/theorem_iii_trackb/phase1_seed/embeddings/K0p9690000000_M256_steps44.npz,artifacts/proof_audit/theorem_iii_trackb/phase4b_lift_alias/records/K0p9690000000_M256_steps44.phase4b_lift_alias_audit.json
0.969,1024,1.2643532054656959e-14,1.2545520178264269e-14,3.608224830031759e-16,0.00014046704201797766,0.00594868007048821,L4096_full,4096,4.255207586290055e-08,0.00014046704184500491,0.00029055147785728846,L4096_full,,4.255207586290055e-08,0.00014046704184500491,0.00029055147785728846,1.286605425961124,0.005908675210514969,needs_high_resolution_refinement,1,artifacts/proof_audit/theorem_iii_trackb/phase1_seed/embeddings/K0p9690000000_M1024_steps44.npz,artifacts/proof_audit/theorem_iii_trackb/phase4b_lift_alias/records/K0p9690000000_M1024_steps44.phase4b_lift_alias_audit.json
0.9695,128,5.80785419757035e-15,5.773159728050814e-15,3.608224830031759e-16,0.00488107738279675,0.0222835155144816,L512_full,512,1.161306526093267e-05,0.004881077382750121,0.0161035851082465,L512_full,,1.161306526093267e-05,0.004881077382750121,0.0161035851082465,1.2294485547063942,0.021602675821756234,needs_high_resolution_refinement,1,artifacts/proof_audit/theorem_iii_trackb/phase1_seed/embeddings/K0p9695000000_M128_steps44.npz,artifacts/proof_audit/theorem_iii_trackb/phase4b_lift_alias/records/K0p9695000000_M128_steps44.phase4b_lift_alias_audit.json
0.9695,256,1.4594436770209995e-12,1.4594991881722308e-12,3.3306690738754696e-16,0.0011614024791740951,0.022369191158574386,L256_full,256,1.4594436770209995e-12,0.0011614024791740951,0.022369191158574386,L256_full,,1.4594436770209995e-12,0.0011614024791740951,0.022369191158574386,1.2629921888055362,0.022496097759892253,needs_high_resolution_refinement,1,artifacts/proof_audit/theorem_iii_trackb/phase1_seed/embeddings/K0p9695000000_M256_steps44.npz,artifacts/proof_audit/theorem_iii_trackb/phase4b_lift_alias/records/K0p9695000000_M256_steps44.phase4b_lift_alias_audit.json
0.9695,1024,1.301736496372996e-14,1.2989609388114332e-14,4.0245584642661925e-16,0.0001832323908845801,0.00766084490429586,L4096_full,4096,5.540729766662089e-08,0.00018323239078243958,0.0003898531472884721,L4096_full,,5.540729766662089e-08,0.00018323239078243958,0.0003898531472884721,1.2976608689507718,0.007610334057359225,needs_high_resolution_refinement,1,artifacts/proof_audit/theorem_iii_trackb/phase1_seed/embeddings/K0p9695000000_M1024_steps44.npz,artifacts/proof_audit/theorem_iii_trackb/phase4b_lift_alias/records/K0p9695000000_M1024_steps44.phase4b_lift_alias_audit.json
0.97,128,2.213507155346357e-15,2.220446049250313e-15,4.163336342344337e-16,0.005034120090367189,0.023111047136779583,L256_full,256,1.1970572134808316e-05,0.005034120090355865,0.016706887821326788,L256_full,,1.1970572134808316e-05,0.005034120090355865,0.016706887821326788,1.2320926640442562,0.022401981450450803,needs_high_resolution_refinement,1,artifacts/proof_audit/theorem_iii_trackb/phase1_seed/embeddings/K0p9700000000_M128_steps44.npz,artifacts/proof_audit/theorem_iii_trackb/phase4b_lift_alias/records/K0p9700000000_M128_steps44.phase4b_lift_alias_audit.json
0.97,256,1.7248980022088745e-12,1.7250645356625682e-12,3.3306690738754696e-16,0.0012452823170334693,0.024093753950454322,L512_full,512,1.5166091887619526e-06,0.0012452823170031602,0.0045051760903307425,L512_full,,1.5166091887619526e-06,0.0012452823170031602,0.0045051760903307425,1.2681897188678095,0.02421753957389494,needs_high_resolution_refinement,1,artifacts/proof_audit/theorem_iii_trackb/phase1_seed/embeddings/K0p9700000000_M256_steps44.npz,artifacts/proof_audit/theorem_iii_trackb/phase4b_lift_alias/records/K0p9700000000_M256_steps44.phase4b_lift_alias_audit.json
0.97,1024,1.559863349598345e-14,1.554312234475219e-14,4.440892098500626e-16,0.00023789000823049022,0.009804349855471406,L2048_full,2048,7.181677588730118e-08,0.00023789000821405892,0.0005215473627196727,L2048_full,,7.181677588730118e-08,0.00023789000821405892,0.0005215473627196727,1.3103708875183036,0.009741019863561684,needs_high_resolution_refinement,1,artifacts/proof_audit/theorem_iii_trackb/phase1_seed/embeddings/K0p9700000000_M1024_steps44.npz,artifacts/proof_audit/theorem_iii_trackb/phase4b_lift_alias/records/K0p9700000000_M1024_steps44.phase4b_lift_alias_audit.json
0.9705,128,1.1775302954930567e-14,1.176836406102666e-14,3.3306690738754696e-16,0.005191673050884527,0.023968124601001062,L512_full,512,1.233831018101171e-05,0.005191673050872758,0.017332606031030817,L512_full,,1.233831018101171e-05,0.005191673050872758,0.017332606031030817,1.234801058295567,0.02322963898380781,needs_high_resolution_refinement,1,artifacts/proof_audit/theorem_iii_trackb/phase1_seed/embeddings/K0p9705000000_M128_steps44.npz,artifacts/proof_audit/theorem_iii_trackb/phase4b_lift_alias/records/K0p9705000000_M128_steps44.phase4b_lift_alias_audit.json
0.9705,256,2.0416723867100472e-12,2.0415891199832004e-12,3.469446951953614e-16,0.001334782040942839,0.025945694241251593,L1024_full,1024,1.6255901491846192e-06,0.001334782040887772,0.004864366313753532,L1024_full,,1.6255901491846192e-06,0.001334782040887772,0.004864366313753532,1.2736423754291293,0.026072212526479954,needs_high_resolution_refinement,1,artifacts/proof_audit/theorem_iii_trackb/phase1_seed/embeddings/K0p9705000000_M256_steps44.npz,artifacts/proof_audit/theorem_iii_trackb/phase4b_lift_alias/records/K0p9705000000_M256_steps44.phase4b_lift_alias_audit.json
0.9705,1024,1.3156142841808105e-14,1.3322676295501878e-14,3.95516952522712e-16,0.00030722418862394463,0.01246025399237316,L4096_full,4096,9.261427089124474e-08,0.00030722418845874344,0.0006953145475915665,L4096_full,,9.261427089124474e-08,0.00030722418845874344,0.0006953145475915665,1.3250900814599538,0.012381461841410868,needs_high_resolution_refinement,1,artifacts/proof_audit/theorem_iii_trackb/phase1_seed/embeddings/K0p9705000000_M1024_steps44.npz,artifacts/proof_audit/theorem_iii_trackb/phase4b_lift_alias/records/K0p9705000000_M1024_steps44.phase4b_lift_alias_audit.json
0.971,128,7.403799795469013e-15,7.327471962526033e-15,3.0531133177191805e-16,0.0053538547795957125,0.024855734114662242,L512_full,512,1.2716534598477755e-05,0.005353854779572176,0.017981546801948856,L512_full,,1.2716534598477755e-05,0.005353854779572176,0.017981546801948856,1.2375756772150812,0.0240865862362456,needs_high_resolution_refinement,1,artifacts/proof_audit/theorem_iii_trackb/phase1_seed/embeddings/K0p9710000000_M128_steps44.npz,artifacts/proof_audit/theorem_iii_trackb/phase4b_lift_alias/records/K0p9710000000_M128_steps44.phase4b_lift_alias_audit.json
0.971,256,2.407601895626499e-12,2.4076296512021145e-12,3.608224830031759e-16,0.0014302222687052613,0.027933743846207948,L256_full,256,2.407601895626499e-12,0.0014302222687052613,0.027933743846207948,L256_full,,2.407601895626499e-12,0.0014302222687052613,0.027933743846207948,1.2793656946187493,0.028106253666526748,needs_high_resolution_refinement,1,artifacts/proof_audit/theorem_iii_trackb/phase1_seed/embeddings/K0p9710000000_M256_steps44.npz,artifacts/proof_audit/theorem_iii_trackb/phase4b_lift_alias/records/K0p9710000000_M256_steps44.phase4b_lift_alias_audit.json
0.971,1024,1.4443307660982896e-14,1.4654943925052066e-14,3.885780586188048e-16,0.0003944568823457395,0.0157133840302921,L2048_full,2048,1.187693118021027e-07,0.00039445688224482023,0.000923282888858578,L2048_cut_0.950,486,1.175428181454663e-07,0.0003924674189291766,0.0010406127147870592,1.3422544355275643,0.015616174713541486,needs_high_resolution_refinement,1,artifacts/proof_audit/theorem_iii_trackb/phase1_seed/embeddings/K0p9710000000_M1024_steps44.npz,artifacts/proof_audit/theorem_iii_trackb/phase4b_lift_alias/records/K0p9710000000_M1024_steps44.phase4b_lift_alias_audit.json
0.97125,128,1.4703516182379417e-14,1.4765966227514582e-14,3.0531133177191805e-16,0.005436719108493859,0.02531130450503427,L512_full,512,1.290966016747816e-05,0.005436719108471877,0.018314985088860425,L512_full,,1.290966016747816e-05,0.005436719108471877,0.018314985088860425,1.238988443473919,0.024526344021076785,needs_high_resolution_refinement,1,artifacts/proof_audit/theorem_iii_trackb/phase1_seed/embeddings/K0p9712500000_M128_steps44.npz,artifacts/proof_audit/theorem_iii_trackb/phase4b_lift_alias/records/K0p9712500000_M128_steps44.phase4b_lift_alias_audit.json
0.97125,256,2.611189042767137e-12,2.6113555762208307e-12,3.3306690738754696e-16,0.0014802734251988525,0.02898168064438944,L256_full,256,2.611189042767137e-12,0.0014802734251988525,0.02898168064438944,L256_full,,2.611189042767137e-12,0.0014802734251988525,0.02898168064438944,1.2823339646456084,0.029179050458531308,needs_high_resolution_refinement,1,artifacts/proof_audit/theorem_iii_trackb/phase1_seed/embeddings/K0p9712500000_M256_steps44.npz,artifacts/proof_audit/theorem_iii_trackb/phase4b_lift_alias/records/K0p9712500000_M256_steps44.phase4b_lift_alias_audit.json
0.97125,1024,3.422262473407045e-14,3.419486915845482e-14,4.0939474033052647e-16,0.0004459108544665469,0.01759032829311158,L4096_full,4096,1.341965868983941e-07,0.0004459108543850565,0.0010621573429719575,L1024_cut_0.950,486,4.824186712604206e-08,0.00043523472186501877,0.018370293978765995,1.3519167967828538,0.017482715501405566,needs_high_resolution_refinement,1,artifacts/proof_audit/theorem_iii_trackb/phase1_seed/embeddings/K0p9712500000_M1024_steps44.npz,artifacts/proof_audit/theorem_iii_trackb/phase4b_lift_alias/records/K0p9712500000_M1024_steps44.phase4b_lift_alias_audit.json
0.9715,128,9.166278847061449e-15,9.2148511043888e-15,3.0531133177191805e-16,0.0055207861342534414,0.02577489088321505,L512_full,512,1.3105505039724685e-05,0.0055207861342385645,0.01865454371774966,L512_full,,1.3105505039724685e-05,0.0055207861342385645,0.01865454371774966,1.240418520616803,0.02497378830450314,needs_high_resolution_refinement,1,artifacts/proof_audit/theorem_iii_trackb/phase1_seed/embeddings/K0p9715000000_M128_steps44.npz,artifacts/proof_audit/theorem_iii_trackb/phase4b_lift_alias/records/K0p9715000000_M128_steps44.phase4b_lift_alias_audit.json
0.9715,256,2.8296809340133677e-12,2.829736445164599e-12,3.7470027081099033e-16,0.0015319351407010462,0.030067157387147603,L256_full,256,2.8296809340133677e-12,0.0015319351407010462,0.030067157387147603,L256_full,,2.8296809340133677e-12,0.0015319351407010462,0.030067157387147603,1.2853761572350804,0.030290684116226152,needs_high_resolution_refinement,1,artifacts/proof_audit/theorem_iii_trackb/phase1_seed/embeddings/K0p9715000000_M256_steps44.npz,artifacts/proof_audit/theorem_iii_trackb/phase4b_lift_alias/records/K0p9715000000_M256_steps44.phase4b_lift_alias_audit.json
0.9715,1024,4.482247906167913e-13,4.483080573436382e-13,4.163336342344337e-16,0.000503238478306578,0.019647433827966188,L1024_full,1024,4.482247906167913e-13,0.000503238478306578,0.019647433827966188,L1024_cut_0.950,486,5.7208808121322896e-08,0.0004819670726924352,0.020580006303766996,1.3624009123150345,0.019528583048382897,needs_high_resolution_refinement,1,artifacts/proof_audit/theorem_iii_trackb/phase1_seed/embeddings/K0p9715000000_M1024_steps44.npz,artifacts/proof_audit/theorem_iii_trackb/phase4b_lift_alias/records/K0p9715000000_M1024_steps44.phase4b_lift_alias_audit.json
0.9716,128,5.3637649877202875e-15,5.329070518200751e-15,3.608224830031759e-16,0.005554753160911918,0.025962599338059555,L512_full,512,1.3184611809628419e-05,0.005554753160889492,0.018792105099775025,L256_cut_0.750,48,1.9039498537959387e-05,0.0055526592016630905,0.012977910868004816,1.2409954565489592,0.025154946183598703,needs_high_resolution_refinement,1,artifacts/proof_audit/theorem_iii_trackb/phase1_seed/embeddings/K0p9716000000_M128_steps44.npz,artifacts/proof_audit/theorem_iii_trackb/phase4b_lift_alias/records/K0p9716000000_M128_steps44.phase4b_lift_alias_audit.json
0.9716,256,2.9208024887594775e-12,2.920996777788787e-12,3.885780586188048e-16,0.0015530604493805555,0.0305121363710118,L512_full,512,1.8913720574165183e-06,0.0015530604493560474,0.005757271419332355,L512_full,,1.8913720574165183e-06,0.0015530604493560474,0.005757271419332355,1.2866142268273193,0.030746498142667944,needs_high_resolution_refinement,1,artifacts/proof_audit/theorem_iii_trackb/phase1_seed/embeddings/K0p9716000000_M256_steps44.npz,artifacts/proof_audit/theorem_iii_trackb/phase4b_lift_alias/records/K0p9716000000_M256_steps44.phase4b_lift_alias_audit.json
0.9716,1024,9.226230890391207e-13,9.22595333463505e-13,4.718447854656915e-16,0.0005279291801283392,0.02052279722665462,L1024_full,1024,9.226230890391207e-13,0.0005279291801283392,0.02052279722665462,L4096_cut_0.950,486,1.5046306320321e-07,0.0005018283835993564,0.0016701055330479164,1.366843851516974,0.020399212382452903,needs_high_resolution_refinement,1,artifacts/proof_audit/theorem_iii_trackb/phase1_seed/embeddings/K0p9716000000_M1024_steps44.npz,artifacts/proof_audit/theorem_iii_trackb/phase4b_lift_alias/records/K0p9716000000_M1024_steps44.phase4b_lift_alias_audit.json
0.971635,128,4.440892098500626e-16,4.440892098500626e-16,3.0531133177191805e-16,0.005566687851054519,0.02602860683293251,L512_full,512,1.3212403614706186e-05,0.005566687851036312,0.01884048832468599,L128_cut_0.750,48,1.751812374428674e-05,0.005562914295318966,0.01300860918819513,1.241198051385803,0.025218648203027216,needs_high_resolution_refinement,1,artifacts/proof_audit/theorem_iii_trackb/phase1_seed/embeddings/K0p9716350000_M128_steps44.npz,artifacts/proof_audit/theorem_iii_trackb/phase4b_lift_alias/records/K0p9716350000_M128_steps44.phase4b_lift_alias_audit.json
0.971635,256,2.9379276789143205e-12,2.9378721677630892e-12,3.885780586188048e-16,0.0015605173383029247,0.03066935988304098,L1024_full,1024,1.9004515632026209e-06,0.0015605173382435833,0.005788189952212086,L1024_full,,1.9004515632026209e-06,0.0015605173382435833,0.005788189952212086,1.2870504557970635,0.030907564964298584,needs_high_resolution_refinement,1,artifacts/proof_audit/theorem_iii_trackb/phase1_seed/embeddings/K0p9716350000_M256_steps44.npz,artifacts/proof_audit/theorem_iii_trackb/phase4b_lift_alias/records/K0p9716350000_M256_steps44.phase4b_lift_alias_audit.json
0.971635,1024,5.707517791720856e-13,5.706546346573305e-13,4.163336342344337e-16,0.0005368187128099722,0.020836362724934054,L1024_full,1024,5.707517791720856e-13,0.0005368187128099722,0.020836362724934054,L1024_cut_0.950,486,6.291297317828626e-08,0.0005089368965471852,0.0218628093450004,1.3684343216053754,0.02071108815739997,needs_high_resolution_refinement,1,artifacts/proof_audit/theorem_iii_trackb/phase1_seed/embeddings/K0p9716350000_M1024_steps44.npz,artifacts/proof_audit/theorem_iii_trackb/phase4b_lift_alias/records/K0p9716350000_M1024_steps44.phase4b_lift_alias_audit.json
0.97165,128,3.066991105526995e-15,3.1086244689504383e-15,3.0531133177191805e-16,0.005571810075234884,0.02605694505161993,L512_full,512,1.3224331006934584e-05,0.005571810075218453,0.018861261702554533,L256_cut_0.750,48,1.9091144510763325e-05,0.005567314616418573,0.013021788439831372,1.2412849839746776,0.025245996325515385,needs_high_resolution_refinement,1,artifacts/proof_audit/theorem_iii_trackb/phase1_seed/embeddings/K0p9716500000_M128_steps44.npz,artifacts/proof_audit/theorem_iii_trackb/phase4b_lift_alias/records/K0p9716500000_M128_steps44.phase4b_lift_alias_audit.json
0.97165,256,2.9517499555709037e-12,2.9518609778733662e-12,4.0592529337857286e-16,0.001563723204650369,0.030736977964529677,L1024_full,1024,1.90435501559727e-06,0.0015637232046070704,0.005801490758548411,L1024_full,,1.90435501559727e-06,0.0015637232046070704,0.005801490758548411,1.287237874846914,0.030976838336148838,needs_high_resolution_refinement,1,artifacts/proof_audit/theorem_iii_trackb/phase1_seed/embeddings/K0p9716500000_M256_steps44.npz,artifacts/proof_audit/theorem_iii_trackb/phase4b_lift_alias/records/K0p9716500000_M256_steps44.phase4b_lift_alias_audit.json
0.97165,1024,8.193584699611733e-13,8.193445921733655e-13,4.0245584642661925e-16,0.0005406685473388073,0.02097199990859777,L1024_full,1024,8.193584699611733e-13,0.0005406685473388073,0.02097199990859777,L4096_cut_0.950,486,1.5356796698173802e-07,0.0005120134908289664,0.0017350243139162558,1.3691216900499712,0.020845996149553292,needs_high_resolution_refinement,1,artifacts/proof_audit/theorem_iii_trackb/phase1_seed/embeddings/K0p9716500000_M1024_steps44.npz,artifacts/proof_audit/theorem_iii_trackb/phase4b_lift_alias/records/K0p9716500000_M1024_steps44.phase4b_lift_alias_audit.json
