K_target,M,converged,solve_status,residual_linf,residual_l2,residual_l1_nu,weighted_coeff_l1_nu,tail_ratio_top_10pct,estimated_strip_width,estimated_nu_from_decay,max_abs_u,max_abs_r,continuation_success_count,continuation_total_count,elapsed_seconds,output_npz,record_path
0.9675,128,True,converged-target,2.491062911502695e-15,2.2599672509146356e-16,4.225382412659162e-15,0.09506919667441038,0.00047323161855776047,0.10939446397555841,1.1156023284876158,0.050062153323025424,0.6839873353056993,44,44,2.989738702774048,artifacts/proof_audit/theorem_iii_trackb/phase1_seed/embeddings/K0p9675000000_M128_steps44.npz,artifacts/proof_audit/theorem_iii_trackb/phase1_seed/records/K0p9675000000_M128_steps44.json
0.9675,256,True,converged-target,7.162326287613041e-13,1.4825339050846847e-13,4.01399924733765e-12,0.09840399671099428,9.93713026541049e-05,0.06668372640516902,1.0689573417244154,0.05008393952245589,0.6839931825539973,44,44,10.132977962493896,artifacts/proof_audit/theorem_iii_trackb/phase1_seed/embeddings/K0p9675000000_M256_steps44.npz,artifacts/proof_audit/theorem_iii_trackb/phase1_seed/records/K0p9675000000_M256_steps44.json
0.9675,512,False,failed-at-K=0.9675,5.1795141287058755e-08,1.326402836661909e-08,1.4233916140047701e-06,0.11785328755321355,0.003550385292722554,0.030716754538664827,1.0311933816722125,0.05003840731870139,0.6839975124733845,43,44,284.8307452201843,artifacts/proof_audit/theorem_iii_trackb/phase1_seed/embeddings/K0p9675000000_M512_steps44.npz,artifacts/proof_audit/theorem_iii_trackb/phase1_seed/records/K0p9675000000_M512_steps44.json
0.9675,1024,True,converged-target,1.50938289644742e-14,3.108225716230072e-15,8.745013272018755e-12,0.11835194882164231,9.299249597672136e-06,0.021721751647835772,1.0219593863903826,0.05005220241215706,0.6839976639506252,44,44,99.43477773666382,artifacts/proof_audit/theorem_iii_trackb/phase1_seed/embeddings/K0p9675000000_M1024_steps44.npz,artifacts/proof_audit/theorem_iii_trackb/phase1_seed/records/K0p9675000000_M1024_steps44.json
0.968,128,True,converged-target,3.982925100842749e-15,3.568686933621142e-16,6.723569657677947e-15,0.09532413850148794,0.00048417939004719187,0.1088748236828511,1.1150227671618453,0.05011727297193645,0.6840275940486273,44,44,3.0264968872070312,artifacts/proof_audit/theorem_iii_trackb/phase1_seed/embeddings/K0p9680000000_M128_steps44.npz,artifacts/proof_audit/theorem_iii_trackb/phase1_seed/records/K0p9680000000_M128_steps44.json
0.968,256,True,converged-target,8.577860644010116e-13,1.7781792987955954e-13,4.81979508557757e-12,0.09880092499272891,0.00010425523681520526,0.06613561011701272,1.0683715893389485,0.05014641956747086,0.6840336988109964,44,44,7.320156812667847,artifacts/proof_audit/theorem_iii_trackb/phase1_seed/embeddings/K0p9680000000_M256_steps44.npz,artifacts/proof_audit/theorem_iii_trackb/phase1_seed/records/K0p9680000000_M256_steps44.json
0.968,512,False,failed-at-K=0.968,9.527561112276928e-08,2.7494262612496094e-08,3.288885774200421e-06,0.1163431719091978,0.0030953499309447686,0.031081062049307526,1.0315691216043648,0.050098531815244915,0.6840380945151702,43,44,282.3197660446167,artifacts/proof_audit/theorem_iii_trackb/phase1_seed/embeddings/K0p9680000000_M512_steps44.npz,artifacts/proof_audit/theorem_iii_trackb/phase1_seed/records/K0p9680000000_M512_steps44.json
0.968,1024,True,converged-target,1.4028708750224439e-14,3.109853797762956e-15,9.38266154947711e-12,0.12205612452197265,1.0795377975175175e-05,0.02116575886456751,1.0213913422756038,0.050109700373397494,0.6840382794463105,44,44,107.27406692504883,artifacts/proof_audit/theorem_iii_trackb/phase1_seed/embeddings/K0p9680000000_M1024_steps44.npz,artifacts/proof_audit/theorem_iii_trackb/phase1_seed/records/K0p9680000000_M1024_steps44.json
0.9685,128,True,converged-target,2.6020852139652106e-15,2.3469853111409624e-16,4.37638994453608e-15,0.09558136930491226,0.0004953331351308201,0.10835642805832717,1.1144448940344958,0.0501726791990248,0.6840678915525673,44,44,3.0695626735687256,artifacts/proof_audit/theorem_iii_trackb/phase1_seed/embeddings/K0p9685000000_M128_steps44.npz,artifacts/proof_audit/theorem_iii_trackb/phase1_seed/records/K0p9685000000_M128_steps44.json
0.9685,256,True,converged-target,1.0262346528122634e-12,2.12803806921031e-13,5.772227902558266e-12,0.09920553460168997,0.00010933685272333033,0.06558993987917433,1.0677887697877972,0.05020945337624222,0.6840742641459475,44,44,11.578580856323242,artifacts/proof_audit/theorem_iii_trackb/phase1_seed/embeddings/K0p9685000000_M256_steps44.npz,artifacts/proof_audit/theorem_iii_trackb/phase1_seed/records/K0p9685000000_M256_steps44.json
0.9685,512,False,failed-at-K=0.9685,2.2889217285437802e-07,4.8339240827774334e-08,4.17832268292974e-06,0.11568158242008053,0.0028788828434176965,0.03158251349735483,1.0320865331516968,0.050161669641881346,0.6840787492904545,43,44,419.6195104122162,artifacts/proof_audit/theorem_iii_trackb/phase1_seed/embeddings/K0p9685000000_M512_steps44.npz,artifacts/proof_audit/theorem_iii_trackb/phase1_seed/records/K0p9685000000_M512_steps44.json
0.9685,1024,True,converged-target,1.4422490979271174e-14,3.1181183597359026e-15,8.802076151011992e-12,0.12627457358881386,1.2372840947899556e-05,0.02061342531704594,1.020827349342564,0.05016778423579634,0.6840789431557059,44,44,101.24847650527954,artifacts/proof_audit/theorem_iii_trackb/phase1_seed/embeddings/K0p9685000000_M1024_steps44.npz,artifacts/proof_audit/theorem_iii_trackb/phase1_seed/records/K0p9685000000_M1024_steps44.json
0.969,128,True,converged-target,3.649858193455202e-15,3.2869050264449716e-16,6.174017825357859e-15,0.09584091384559659,0.0005066948578262267,0.1078393077185814,1.1138687408953574,0.05022837449343548,0.6841082280021414,44,44,3.0202648639678955,artifacts/proof_audit/theorem_iii_trackb/phase1_seed/embeddings/K0p9690000000_M128_steps44.npz,artifacts/proof_audit/theorem_iii_trackb/phase1_seed/records/K0p9690000000_M128_steps44.json
0.969,256,True,converged-target,1.2242706848297757e-12,2.5411996371017004e-13,6.866998924026737e-12,0.09961799128607607,0.00011462055429904889,0.0650468422361558,1.0672090136700245,0.05027305120751034,0.684114879054818,44,44,7.409453868865967,artifacts/proof_audit/theorem_iii_trackb/phase1_seed/embeddings/K0p9690000000_M256_steps44.npz,artifacts/proof_audit/theorem_iii_trackb/phase1_seed/records/K0p9690000000_M256_steps44.json
0.969,512,False,failed-at-K=0.969,3.3846828412231744e-07,7.616520301269944e-08,4.845901944927096e-06,0.11511040110822794,0.0027320433219639472,0.03270601517355628,1.033246735724406,0.05023132116648549,0.6841196328482908,43,44,963.9351308345795,artifacts/proof_audit/theorem_iii_trackb/phase1_seed/embeddings/K0p9690000000_M512_steps44.npz,artifacts/proof_audit/theorem_iii_trackb/phase1_seed/records/K0p9690000000_M512_steps44.json
0.969,1024,True,converged-target,1.259929660601955e-14,3.125911856246654e-15,7.825823891451416e-12,0.1310605926594729,1.3967508196538478e-05,0.0200656401966995,1.0202683084412743,0.05022648606395666,0.6841196558029927,44,44,102.49067378044128,artifacts/proof_audit/theorem_iii_trackb/phase1_seed/embeddings/K0p9690000000_M1024_steps44.npz,artifacts/proof_audit/theorem_iii_trackb/phase1_seed/records/K0p9690000000_M1024_steps44.json
0.9695,128,True,converged-target,5.814793091474257e-15,5.207353298803205e-16,9.802907121416829e-15,0.09610279676087197,0.0005182664993709637,0.10732349392383911,1.1132943401879112,0.050284361322831435,0.6841486035790212,44,44,3.0295166969299316,artifacts/proof_audit/theorem_iii_trackb/phase1_seed/embeddings/K0p9695000000_M128_steps44.npz,artifacts/proof_audit/theorem_iii_trackb/phase1_seed/records/K0p9695000000_M128_steps44.json
0.9695,256,True,converged-target,1.459415921445384e-12,3.026287485900532e-13,8.187845975109373e-12,0.10003845850417473,0.00012011052620858646,0.06450644764250585,1.066632455487236,0.05033722343473319,0.6841555440300016,44,44,11.761062860488892,artifacts/proof_audit/theorem_iii_trackb/phase1_seed/embeddings/K0p9695000000_M256_steps44.npz,artifacts/proof_audit/theorem_iii_trackb/phase1_seed/records/K0p9695000000_M256_steps44.json
0.9695,512,False,failed-at-K=0.9672247792960712,0.0003621102235945861,0.0002633340457298388,0.0005741214032284706,0.11866544978138802,0.003801539248046652,0.03055706995382091,1.0310287291317526,0.05000592443584055,0.6839752041597678,42,44,1012.460607290268,artifacts/proof_audit/theorem_iii_trackb/phase1_seed/embeddings/K0p9695000000_M512_steps44.npz,artifacts/proof_audit/theorem_iii_trackb/phase1_seed/records/K0p9695000000_M512_steps44.json
0.9695,1024,True,converged-target,1.301736496372996e-14,3.129328933444149e-15,9.097147902369302e-12,0.1364680143937375,1.5506498691450253e-05,0.019523387892357455,1.0197152155714688,0.05028583720031766,0.6841604181495953,44,44,103.23693561553955,artifacts/proof_audit/theorem_iii_trackb/phase1_seed/embeddings/K0p9695000000_M1024_steps44.npz,artifacts/proof_audit/theorem_iii_trackb/phase1_seed/records/K0p9695000000_M1024_steps44.json
0.97,128,True,converged-target,2.220446049250313e-15,2.0133944147142082e-16,3.783458083062508e-15,0.09636704254062962,0.0005300499338700092,0.10680901857823609,1.1127217250083117,0.05034064213089202,0.6841890184616558,44,44,3.035714626312256,artifacts/proof_audit/theorem_iii_trackb/phase1_seed/embeddings/K0p9700000000_M128_steps44.npz,artifacts/proof_audit/theorem_iii_trackb/phase1_seed/records/K0p9700000000_M128_steps44.json
0.97,256,True,converged-target,1.72492575778449e-12,3.5961650205518146e-13,9.676685107471375e-12,0.1004670967206253,0.0001258106972332045,0.0639688905741267,1.0660592337549266,0.050401980532745846,0.6841962595589602,44,44,79.51450443267822,artifacts/proof_audit/theorem_iii_trackb/phase1_seed/embeddings/K0p9700000000_M256_steps44.npz,artifacts/proof_audit/theorem_iii_trackb/phase1_seed/records/K0p9700000000_M256_steps44.json
0.97,512,False,failed-at-K=0.967723605897049,0.0003622867867774382,0.0002634689323622998,0.0005665841742687165,0.11523730339453075,0.0029777013278334333,0.03154293503257452,1.0320456855595421,0.05006597425793436,0.6840156099612653,42,44,1075.6332459449768,artifacts/proof_audit/theorem_iii_trackb/phase1_seed/embeddings/K0p9700000000_M512_steps44.npz,artifacts/proof_audit/theorem_iii_trackb/phase1_seed/records/K0p9700000000_M512_steps44.json
0.97,1024,True,converged-target,1.5557000132560006e-14,3.1278243988066116e-15,9.528926832034565e-12,0.142543315292819,1.6861362964920188e-05,0.01898773577790377,1.0191691492239607,0.05034586729574817,0.6842012309926536,44,44,187.2239933013916,artifacts/proof_audit/theorem_iii_trackb/phase1_seed/embeddings/K0p9700000000_M1024_steps44.npz,artifacts/proof_audit/theorem_iii_trackb/phase1_seed/records/K0p9700000000_M1024_steps44.json
0.9705,128,True,converged-target,1.1789180742738381e-14,1.0510651436079881e-15,1.9810580922230598e-14,0.09663367550342679,0.0005420469641354006,0.10629591422939785,1.1121509291036167,0.050397219334780786,0.6842294728251225,44,44,3.0106418132781982,artifacts/proof_audit/theorem_iii_trackb/phase1_seed/embeddings/K0p9705000000_M128_steps44.npz,artifacts/proof_audit/theorem_iii_trackb/phase1_seed/records/K0p9705000000_M128_steps44.json
0.9705,256,True,converged-target,2.041700142285663e-12,4.259819017137163e-13,1.1485211182688202e-11,0.10090406279922864,0.00013172471001665143,0.06343430916516246,1.065489490608322,0.050467333063833573,0.6842370261228541,44,44,10.881267547607422,artifacts/proof_audit/theorem_iii_trackb/phase1_seed/embeddings/K0p9705000000_M256_steps44.npz,artifacts/proof_audit/theorem_iii_trackb/phase1_seed/records/K0p9705000000_M256_steps44.json
0.9705,512,False,failed-at-K=0.9682224324980269,0.00036247648238910135,0.00026360936412323096,0.0005692460428339558,0.11628841662578268,0.00306449893637107,0.031288818838757844,1.0317834593574562,0.05012630304440462,0.6840561243765434,42,44,513.3968908786774,artifacts/proof_audit/theorem_iii_trackb/phase1_seed/embeddings/K0p9705000000_M512_steps44.npz,artifacts/proof_audit/theorem_iii_trackb/phase1_seed/records/K0p9705000000_M512_steps44.json
0.9705,1024,True,converged-target,1.315874492702207e-14,3.1274497622878556e-15,8.118046608273204e-12,0.14932591236685808,1.78694036370536e-05,0.018459819511364318,1.018631255245713,0.05040660325616689,0.6842420951597765,44,44,149.37434315681458,artifacts/proof_audit/theorem_iii_trackb/phase1_seed/embeddings/K0p9705000000_M1024_steps44.npz,artifacts/proof_audit/theorem_iii_trackb/phase1_seed/records/K0p9705000000_M1024_steps44.json
0.971,128,True,converged-target,7.424616477180734e-15,6.63377122706457e-16,1.2511232569241374e-14,0.09690271976917197,0.0005542593165786941,0.10578421406710166,1.1115819868690275,0.05045409532244669,0.6842699668408838,44,44,2.9954724311828613,artifacts/proof_audit/theorem_iii_trackb/phase1_seed/embeddings/K0p9710000000_M128_steps44.npz,artifacts/proof_audit/theorem_iii_trackb/phase1_seed/records/K0p9710000000_M128_steps44.json
0.971,256,True,converged-target,2.407601895626499e-12,5.03073559561696e-13,1.3590529784387429e-11,0.10134950923451805,0.0001378558831398226,0.06290284523901846,1.0649233718295577,0.05053329166064783,0.6842778441949906,44,44,7.593536615371704,artifacts/proof_audit/theorem_iii_trackb/phase1_seed/embeddings/K0p9710000000_M256_steps44.npz,artifacts/proof_audit/theorem_iii_trackb/phase1_seed/records/K0p9710000000_M256_steps44.json
0.971,512,False,failed-at-K=0.9687212590990046,0.00036263912092487915,0.0002637387513049403,0.0005679050356929484,0.11544737385710095,0.0027941525992157524,0.03167402312206681,1.0321809833245,0.05018764865585109,0.6840966532974132,42,44,573.628734588623,artifacts/proof_audit/theorem_iii_trackb/phase1_seed/embeddings/K0p9710000000_M512_steps44.npz,artifacts/proof_audit/theorem_iii_trackb/phase1_seed/records/K0p9710000000_M512_steps44.json
0.971,1024,True,converged-target,1.4450246554886803e-14,3.150687820865189e-15,7.318017367321882e-12,0.15687099687652045,1.8524478689885982e-05,0.017940819786549607,1.0181027230704434,0.05047177758056673,0.6842830114987363,44,44,111.0155918598175,artifacts/proof_audit/theorem_iii_trackb/phase1_seed/embeddings/K0p9710000000_M1024_steps44.npz,artifacts/proof_audit/theorem_iii_trackb/phase1_seed/records/K0p9710000000_M1024_steps44.json
0.97125,128,True,converged-target,1.4710455076283324e-14,1.3123825113476403e-15,2.4725818104073527e-14,0.09703815361816026,0.0005604467563953655,0.10552890110260728,1.111298221802673,0.05048264609777708,0.684290228770892,44,44,3.0611722469329834,artifacts/proof_audit/theorem_iii_trackb/phase1_seed/embeddings/K0p9712500000_M128_steps44.npz,artifacts/proof_audit/theorem_iii_trackb/phase1_seed/records/K0p9712500000_M128_steps44.json
0.97125,256,True,converged-target,2.611244553918368e-12,5.460715771349897e-13,1.4766744511965596e-11,0.1015754588750547,0.0001410038449719832,0.06263832758072072,1.0646417180458168,0.05056650157132432,0.6842982726920286,44,44,9.331214427947998,artifacts/proof_audit/theorem_iii_trackb/phase1_seed/embeddings/K0p9712500000_M256_steps44.npz,artifacts/proof_audit/theorem_iii_trackb/phase1_seed/records/K0p9712500000_M256_steps44.json
0.97125,512,False,failed-at-K=0.9689706723994936,0.0003627327667338476,0.0002638102841137657,0.0005661861943840752,0.1145256190967257,0.0025254734873325574,0.03184186302603066,1.0323542390208174,0.05021714487192249,0.6841169195072596,42,44,644.9666788578033,artifacts/proof_audit/theorem_iii_trackb/phase1_seed/embeddings/K0p9712500000_M512_steps44.npz,artifacts/proof_audit/theorem_iii_trackb/phase1_seed/records/K0p9712500000_M512_steps44.json
0.97125,1024,True,converged-target,3.422956362797436e-14,3.350138573451338e-15,1.4515563600467124e-11,0.16095380781411245,1.8782370607971508e-05,0.017685038128214616,1.0178423443690487,0.0505075315246476,0.6843034894985632,44,44,112.68026280403137,artifacts/proof_audit/theorem_iii_trackb/phase1_seed/embeddings/K0p9712500000_M1024_steps44.npz,artifacts/proof_audit/theorem_iii_trackb/phase1_seed/records/K0p9712500000_M1024_steps44.json
0.9715,128,True,converged-target,9.166278847061449e-15,8.183330655824549e-16,1.543253507742125e-14,0.09717419923492922,0.0005666886373926189,0.1052739519204998,1.111014933343562,0.05051127244991101,0.6843105006765229,44,44,3.0985891819000244,artifacts/proof_audit/theorem_iii_trackb/phase1_seed/embeddings/K0p9715000000_M128_steps44.npz,artifacts/proof_audit/theorem_iii_trackb/phase1_seed/records/K0p9715000000_M128_steps44.json
