K,M,residual_linf,u_l1,u_tail_075_ratio_plain,u_tail_090_ratio_plain,u_decay_strip,u_decay_nu,u_decay_r2,recommended_nu_quarter_fit,recommended_nu_half_fit,recommendation_label,recommendation_score,rep_nu,rep_u_l1_nu,rep_residual_l1_nu,rep_u_tail_075_weighted_ratio,npz_path,record_path
0.967,512,4.377609386096992e-13,0.09100671131396068,0.0044426284689902526,0.002954156641383929,0.02357245188992945,1.0238524781064997,0.5175348596718692,1.005910511523153,1.0118559571927714,strong_phase2_candidate,5,1.005,0.09471140107327441,1.5700789600335469e-12,0.013356747449296713,artifacts/proof_audit/theorem_iii_trackb/phase1_seed/embeddings/K0p9670000000_M512_steps44.npz,artifacts/proof_audit/theorem_iii_trackb/phase2_tail_audit/records/K0p9670000000_M512_steps44.phase2_tail_audit.json
0.967,1024,1.3656610564627414e-14,0.09058041905334054,7.794145859921605e-05,7.924247270317285e-06,0.018097813739222833,1.0182625715884628,0.72598854667783,1.0045347042281627,1.0090899719987623,strong_phase2_candidate,6,1.005,0.09370921946739648,1.324779417618585e-13,0.0005943115833673874,artifacts/proof_audit/theorem_iii_trackb/phase1_seed/embeddings/K0p9670000000_M1024_steps44.npz,artifacts/proof_audit/theorem_iii_trackb/phase2_tail_audit/records/K0p9670000000_M1024_steps44.phase2_tail_audit.json
0.9675,128,2.491062911502695e-15,0.08908638279499306,0.0042160339173409845,0.00047323161855776047,0.09825853483750972,1.1032479762772727,0.6474411889880252,1.0248688300406523,1.0503561187888957,strong_phase2_candidate,5,1.005,0.0909231331886026,2.9642881114427014e-15,0.005426726606632322,artifacts/proof_audit/theorem_iii_trackb/phase1_seed/embeddings/K0p9675000000_M128_steps44.npz,artifacts/proof_audit/theorem_iii_trackb/phase2_tail_audit/records/K0p9675000000_M128_steps44.phase2_tail_audit.json
0.9675,256,7.162326287613041e-13,0.0902391081155055,0.0009105395495436533,7.421527082929102e-05,0.049271098387510794,1.050505102379756,0.5726804364470983,1.0123939508349777,1.0249415116872553,strong_phase2_candidate,6,1.005,0.09255050246787588,1.9697110897983964e-12,0.001501101981990965,artifacts/proof_audit/theorem_iii_trackb/phase1_seed/embeddings/K0p9675000000_M256_steps44.npz,artifacts/proof_audit/theorem_iii_trackb/phase2_tail_audit/records/K0p9675000000_M256_steps44.phase2_tail_audit.json
0.9675,1024,1.50938289644742e-14,0.09088951231184819,9.367706450904763e-05,9.299249597672136e-06,0.017555268888009345,1.0177102683112613,0.7144910472434505,1.0043984621851378,1.0088162708398698,strong_phase2_candidate,6,1.005,0.09416630860398383,1.6214001715607975e-13,0.0007129633562200893,artifacts/proof_audit/theorem_iii_trackb/phase1_seed/embeddings/K0p9675000000_M1024_steps44.npz,artifacts/proof_audit/theorem_iii_trackb/phase2_tail_audit/records/K0p9675000000_M1024_steps44.phase2_tail_audit.json
0.968,128,3.982925100842749e-15,0.08928589126091405,0.004308043388009712,0.00048417939004719187,0.09775540225021184,1.1026930358845417,0.6453267693858407,1.0247399269212176,1.0500919178265022,strong_phase2_candidate,5,1.005,0.09113846843939459,4.7173060557051494e-15,0.005544443770550549,artifacts/proof_audit/theorem_iii_trackb/phase1_seed/embeddings/K0p9680000000_M128_steps44.npz,artifacts/proof_audit/theorem_iii_trackb/phase2_tail_audit/records/K0p9680000000_M128_steps44.phase2_tail_audit.json
0.968,256,8.577860644010116e-13,0.09048726614855894,0.0009518493923074525,7.785094264056812e-05,0.048761293679394656,1.0499696864230468,0.5681426029912808,1.012264928256541,1.0246802849782204,strong_phase2_candidate,6,1.005,0.09283466000712895,2.364313823909037e-12,0.0015687603011025888,artifacts/proof_audit/theorem_iii_trackb/phase1_seed/embeddings/K0p9680000000_M256_steps44.npz,artifacts/proof_audit/theorem_iii_trackb/phase2_tail_audit/records/K0p9680000000_M256_steps44.phase2_tail_audit.json
0.968,1024,1.4028708750224439e-14,0.09120943083695501,0.00011205954885855945,1.0795377975175175e-05,0.017019515945210964,1.0171651730713251,0.7025061661600185,1.0042639438359497,1.0085460688889354,strong_phase2_candidate,6,1.005,0.09465089747761052,1.612704900289091e-13,0.0008509494056141708,artifacts/proof_audit/theorem_iii_trackb/phase1_seed/embeddings/K0p9680000000_M1024_steps44.npz,artifacts/proof_audit/theorem_iii_trackb/phase2_tail_audit/records/K0p9680000000_M1024_steps44.phase2_tail_audit.json
0.9685,128,2.6020852139652106e-15,0.08948689023062481,0.004401652953482145,0.0004953331351308201,0.09725366921768892,1.1021399171342827,0.6432018676344801,1.024611398514484,1.049828517965807,strong_phase2_candidate,5,1.005,0.09135551442359924,3.0871117920555004e-15,0.005664181012472499,artifacts/proof_audit/theorem_iii_trackb/phase1_seed/embeddings/K0p9685000000_M128_steps44.npz,artifacts/proof_audit/theorem_iii_trackb/phase2_tail_audit/records/K0p9685000000_M128_steps44.phase2_tail_audit.json
0.9685,256,1.0262346528122634e-12,0.09073877244391648,0.0009946691913748783,8.16325142652213e-05,0.04825489500421741,1.0494381177690566,0.5635809777906935,1.0121367839635753,1.0244208694521293,strong_phase2_candidate,6,1.005,0.09312314918388376,2.830859565273326e-12,0.0016388529840338898,artifacts/proof_audit/theorem_iii_trackb/phase1_seed/embeddings/K0p9685000000_M256_steps44.npz,artifacts/proof_audit/theorem_iii_trackb/phase2_tail_audit/records/K0p9685000000_M256_steps44.phase2_tail_audit.json
0.9685,1024,1.4422490979271174e-14,0.09154112083195662,0.00013334703719653057,1.2372840947899556e-05,0.016491684506348806,1.01662842298371,0.6900493345854211,1.004131432058509,1.0082799328478722,strong_phase2_candidate,6,1.005,0.0951659053240052,1.6134896579953892e-13,0.0010098758323842676,artifacts/proof_audit/theorem_iii_trackb/phase1_seed/embeddings/K0p9685000000_M1024_steps44.npz,artifacts/proof_audit/theorem_iii_trackb/phase2_tail_audit/records/K0p9685000000_M1024_steps44.phase2_tail_audit.json
0.969,128,3.649858193455202e-15,0.08968939480177562,0.004496874593060158,0.0005066948578262267,0.0967533678004969,1.1015886528824381,0.6410666468032893,1.0244832528948935,1.0495659354621025,strong_phase2_candidate,5,1.005,0.09157428886852853,4.338053651209722e-15,0.005785952356802653,artifacts/proof_audit/theorem_iii_trackb/phase1_seed/embeddings/K0p9690000000_M128_steps44.npz,artifacts/proof_audit/theorem_iii_trackb/phase2_tail_audit/records/K0p9690000000_M128_steps44.phase2_tail_audit.json
0.969,256,1.2242706848297757e-12,0.09099369315548822,0.0010390235805366706,8.556311241541317e-05,0.04775204430034442,1.048910539730476,0.5589976630738649,1.0120095535374236,1.0241633364510156,strong_phase2_candidate,5,1.005,0.09341605849887309,3.3688802617337406e-12,0.0017114162888747578,artifacts/proof_audit/theorem_iii_trackb/phase1_seed/embeddings/K0p9690000000_M256_steps44.npz,artifacts/proof_audit/theorem_iii_trackb/phase2_tail_audit/records/K0p9690000000_M256_steps44.phase2_tail_audit.json
0.969,1024,1.259929660601955e-14,0.0918856038032709,0.00015776052706064733,1.3967508196538478e-05,0.015972984213480968,1.0161012342612628,0.67714482339455,1.004001229683721,1.0080184692064242,strong_phase2_candidate,6,1.005,0.09571444337535351,1.462196583605985e-13,0.001190960835154092,artifacts/proof_audit/theorem_iii_trackb/phase1_seed/embeddings/K0p9690000000_M1024_steps44.npz,artifacts/proof_audit/theorem_iii_trackb/phase2_tail_audit/records/K0p9690000000_M1024_steps44.phase2_tail_audit.json
0.9695,128,5.814793091474257e-15,0.08989342000493919,0.004593719679869191,0.0005182664993709637,0.0962545306699451,1.1010392765958232,0.6389212788743248,1.0243554982896086,1.0493041868761523,strong_phase2_candidate,5,1.005,0.09179480941950086,6.883673038529285e-15,0.005909771020528103,artifacts/proof_audit/theorem_iii_trackb/phase1_seed/embeddings/K0p9695000000_M128_steps44.npz,artifacts/proof_audit/theorem_iii_trackb/phase2_tail_audit/records/K0p9695000000_M128_steps44.phase2_tail_audit.json
0.9695,256,1.459415921445384e-12,0.09125209390917241,0.0010849349122535653,8.964568935835644e-05,0.04725288690097626,1.0483870989238386,0.5543948843537736,1.0118832734025756,1.0239077589919117,strong_phase2_candidate,5,1.005,0.0937134755821363,4.017454488734467e-12,0.0017864825103135033,artifacts/proof_audit/theorem_iii_trackb/phase1_seed/embeddings/K0p9695000000_M256_steps44.npz,artifacts/proof_audit/theorem_iii_trackb/phase2_tail_audit/records/K0p9695000000_M256_steps44.phase2_tail_audit.json
0.9695,1024,1.301736496372996e-14,0.0922439741552477,0.00018548178407435404,1.5506498691450253e-05,0.0154646891609789,1.0155848862707282,0.6638265350421508,1.0038736555751153,1.0077623163577452,strong_phase2_candidate,6,1.005,0.0962998002189428,1.5894879234474303e-13,0.0013950815466378086,artifacts/proof_audit/theorem_iii_trackb/phase1_seed/embeddings/K0p9695000000_M1024_steps44.npz,artifacts/proof_audit/theorem_iii_trackb/phase2_tail_audit/records/K0p9695000000_M1024_steps44.phase2_tail_audit.json
0.97,128,2.220446049250313e-15,0.09009898078993062,0.004692198946351314,0.0005300499338700092,0.0957571911063994,1.1004918223491666,0.6367659449141354,1.024228143078012,1.0490432890730328,strong_phase2_candidate,5,1.005,0.09201709362343585,2.6533863738183694e-15,0.006035649369421153,artifacts/proof_audit/theorem_iii_trackb/phase1_seed/embeddings/K0p9700000000_M128_steps44.npz,artifacts/proof_audit/theorem_iii_trackb/phase2_tail_audit/records/K0p9700000000_M128_steps44.phase2_tail_audit.json
0.97,256,1.72492575778449e-12,0.09151403957163366,0.0011324229709984387,9.388299518982461e-05,0.046757571611814715,1.0478679453477477,0.5497749933848842,1.01175798084611,1.0236542118057972,strong_phase2_candidate,5,1.005,0.09401548686202155,4.751243330019651e-12,0.0018640795116989302,artifacts/proof_audit/theorem_iii_trackb/phase1_seed/embeddings/K0p9700000000_M256_steps44.npz,artifacts/proof_audit/theorem_iii_trackb/phase2_tail_audit/records/K0p9700000000_M256_steps44.phase2_tail_audit.json
0.97,1024,1.5557000132560006e-14,0.09261738776755699,0.0002165865498033619,1.6861362964920188e-05,0.014968108490283832,1.01508069164377,0.6501382239254779,1.0037490372473623,1.0075121297750067,strong_phase2_candidate,6,1.005,0.09692534889354129,1.6743828899587146e-13,0.0016221185720894115,artifacts/proof_audit/theorem_iii_trackb/phase1_seed/embeddings/K0p9700000000_M1024_steps44.npz,artifacts/proof_audit/theorem_iii_trackb/phase2_tail_audit/records/K0p9700000000_M1024_steps44.phase2_tail_audit.json
