K,M,npz_path,native_scalar_residual_linf,native_derivative_residual_linf,native_derivative_to_scalar_linf_ratio,max_scalar_residual_linf_over_grids,max_derivative_residual_linf_over_grids,worst_scalar_grid_size,worst_derivative_grid_size,record_path
0.971635,4096,artifacts/proof_audit/theorem_iii_trackb/phase4f_lsq_polish_M4096_os2/embeddings/K0p9716350000_M4096_lsqdealias2_full_fromM1024.npz,7.3346714535293955e-09,7.654100519111727e-05,10435.50562231199,7.4457026100205326e-09,0.00011216270246672348,16384,16384,artifacts/proof_audit/theorem_iii_trackb/phase4i_spectral_forensics/records/K0p9716350000_M4096_lsqdealias2_full_fromM1024.phase4i_forensics.json
0.971635,8192,artifacts/proof_audit/theorem_iii_trackb/phase4h_M8192_unique_inputs/K0p9716350000_M8192_from_originalM4096.npz,1.3067324999838092e-13,1.152131631078185e-09,8816.889693127401,6.585401252090506e-09,0.00017222327281865855,16384,16384,artifacts/proof_audit/theorem_iii_trackb/phase4i_spectral_forensics/records/K0p9716350000_M8192_from_originalM4096.phase4i_forensics.json
0.971635,8192,artifacts/proof_audit/theorem_iii_trackb/phase4h_M8192_unique_inputs/K0p9716350000_M8192_from_os2M4096.npz,1.4580003870889868e-13,1.2862491520868879e-09,8822.008303132114,6.585396894465134e-09,0.00017222330760123373,32768,16384,artifacts/proof_audit/theorem_iii_trackb/phase4i_spectral_forensics/records/K0p9716350000_M8192_from_os2M4096.phase4i_forensics.json
