K,M,grid_factor,grid_size,nu,cutoff_spec,cutoff_mode_native_units,tail_start_frac,scalar_residual_linf,derivative_residual_linf,upper_triangular_defect_linf_max,a21_linf,twist_average,twist_min,twist_max,frame_tangent_norm_min,frame_tangent_norm_max,small_divisor_min_denominator,small_divisor_min_mode,cohomology_inverse_linf_resolved,residual_l1_nu_total,derivative_l1_nu_total,residual_l1_nu_tail_to_core_observed,derivative_l1_nu_tail_to_core_observed,cohomology_residual_correction_l1_nu_proxy,cohomology_zero_mode_residual_abs,Y_cohomology_proxy,Z_linear_reducibility_proxy,Q_nonlinear_proxy,best_radius_proxy,best_radii_margin_proxy,best_relative_margin_proxy,any_positive_radii_margin_proxy,dominant_proxy_term,recommendation_label,recommendation_score,npz_path
0.971635,8192,4,32768,1.001,full,4095,0.5,1.6712770139169775e-09,2.0148550871131545e-05,0.0001717048746847638,0.0001717048746847638,1.4650834088702989,-0.23879527226722919,7.293471926256523,0.4509359224405899,9.474386580224484,0.0010874325336761744,2584,919.5972798601124,1.7865344539747505e-08,0.0005620552823373908,0.2943332167279389,2.2772387247396457,1.3669990056852217e-07,3.2724825386551336e-16,1.3669990056852217e-07,0.15789933569883027,741.2309010414174,1e-05,8.210183652339034e-06,0.8210183652339034,True,Z_linear_reducibility_proxy,strong_pre_interval_candidate,5,artifacts/proof_audit/theorem_iii_trackb/phase4i_selected_seed/K0p9716350000_M8192_H1_SELECTED.npz
0.971635,8192,4,32768,1.001,full,4095,0.75,1.6712770139169775e-09,2.0148550871131545e-05,0.0001717048746847638,0.0001717048746847638,1.4650834088702989,-0.23879527226722919,7.293471926256523,0.4509359224405899,9.474386580224484,0.0010874325336761744,2584,919.5972798601124,1.7865344539747505e-08,0.0005620552823373908,0.2943332167279389,2.2772387247396457,1.3669990056852217e-07,3.2724825386551336e-16,1.3669990056852217e-07,0.15789933569883027,741.2309010414174,1e-05,8.210183652339034e-06,0.8210183652339034,True,Z_linear_reducibility_proxy,strong_pre_interval_candidate,5,artifacts/proof_audit/theorem_iii_trackb/phase4i_selected_seed/K0p9716350000_M8192_H1_SELECTED.npz
0.971635,8192,4,32768,1.001,full,4095,0.9,1.6712770139169775e-09,2.0148550871131545e-05,0.0001717048746847638,0.0001717048746847638,1.4650834088702989,-0.23879527226722919,7.293471926256523,0.4509359224405899,9.474386580224484,0.0010874325336761744,2584,919.5972798601124,1.7865344539747505e-08,0.0005620552823373908,0.2943332167279389,2.2772387247396457,1.3669990056852217e-07,3.2724825386551336e-16,1.3669990056852217e-07,0.15789933569883027,741.2309010414174,1e-05,8.210183652339034e-06,0.8210183652339034,True,Z_linear_reducibility_proxy,strong_pre_interval_candidate,5,artifacts/proof_audit/theorem_iii_trackb/phase4i_selected_seed/K0p9716350000_M8192_H1_SELECTED.npz
0.971635,8192,4,32768,1.001,frac:0.98,4013,0.5,1.6712770139169775e-09,2.0148550871131545e-05,0.0001717048746847638,0.0001717048746847638,1.4650834088702989,-0.23879527226722919,7.293471926256523,0.4509359224405899,9.474386580224484,0.0010874325336761744,2584,919.5972798601124,1.7865344539747505e-08,0.0005620552823373908,0.2944759196075252,2.277980029269938,1.3668254061169022e-07,3.2724825386551336e-16,1.3668254061169022e-07,0.15789933569883027,741.2309010414174,1e-05,8.210201012295867e-06,0.8210201012295866,True,Z_linear_reducibility_proxy,strong_pre_interval_candidate,5,artifacts/proof_audit/theorem_iii_trackb/phase4i_selected_seed/K0p9716350000_M8192_H1_SELECTED.npz
0.971635,8192,4,32768,1.001,frac:0.98,4013,0.75,1.6712770139169775e-09,2.0148550871131545e-05,0.0001717048746847638,0.0001717048746847638,1.4650834088702989,-0.23879527226722919,7.293471926256523,0.4509359224405899,9.474386580224484,0.0010874325336761744,2584,919.5972798601124,1.7865344539747505e-08,0.0005620552823373908,0.2944759196075252,2.277980029269938,1.3668254061169022e-07,3.2724825386551336e-16,1.3668254061169022e-07,0.15789933569883027,741.2309010414174,1e-05,8.210201012295867e-06,0.8210201012295866,True,Z_linear_reducibility_proxy,strong_pre_interval_candidate,5,artifacts/proof_audit/theorem_iii_trackb/phase4i_selected_seed/K0p9716350000_M8192_H1_SELECTED.npz
0.971635,8192,4,32768,1.001,frac:0.98,4013,0.9,1.6712770139169775e-09,2.0148550871131545e-05,0.0001717048746847638,0.0001717048746847638,1.4650834088702989,-0.23879527226722919,7.293471926256523,0.4509359224405899,9.474386580224484,0.0010874325336761744,2584,919.5972798601124,1.7865344539747505e-08,0.0005620552823373908,0.2944759196075252,2.277980029269938,1.3668254061169022e-07,3.2724825386551336e-16,1.3668254061169022e-07,0.15789933569883027,741.2309010414174,1e-05,8.210201012295867e-06,0.8210201012295866,True,Z_linear_reducibility_proxy,strong_pre_interval_candidate,5,artifacts/proof_audit/theorem_iii_trackb/phase4i_selected_seed/K0p9716350000_M8192_H1_SELECTED.npz
0.971635,8192,4,32768,1.001,frac:0.95,3890,0.5,1.6712770139169775e-09,2.0148550871131545e-05,0.0001717048746847638,0.0001717048746847638,1.4650834088702989,-0.23879527226722919,7.293471926256523,0.4509359224405899,9.474386580224484,0.0010874325336761744,2584,919.5972798601124,1.7865344539747505e-08,0.0005620552823373908,0.2946839527401476,2.27903734754704,1.366613605267911e-07,3.2724825386551336e-16,1.366613605267911e-07,0.15789933569883027,741.2309010414174,1e-05,8.210222192380766e-06,0.8210222192380765,True,Z_linear_reducibility_proxy,strong_pre_interval_candidate,5,artifacts/proof_audit/theorem_iii_trackb/phase4i_selected_seed/K0p9716350000_M8192_H1_SELECTED.npz
0.971635,8192,4,32768,1.001,frac:0.95,3890,0.75,1.6712770139169775e-09,2.0148550871131545e-05,0.0001717048746847638,0.0001717048746847638,1.4650834088702989,-0.23879527226722919,7.293471926256523,0.4509359224405899,9.474386580224484,0.0010874325336761744,2584,919.5972798601124,1.7865344539747505e-08,0.0005620552823373908,0.2946839527401476,2.27903734754704,1.366613605267911e-07,3.2724825386551336e-16,1.366613605267911e-07,0.15789933569883027,741.2309010414174,1e-05,8.210222192380766e-06,0.8210222192380765,True,Z_linear_reducibility_proxy,strong_pre_interval_candidate,5,artifacts/proof_audit/theorem_iii_trackb/phase4i_selected_seed/K0p9716350000_M8192_H1_SELECTED.npz
0.971635,8192,4,32768,1.001,frac:0.95,3890,0.9,1.6712770139169775e-09,2.0148550871131545e-05,0.0001717048746847638,0.0001717048746847638,1.4650834088702989,-0.23879527226722919,7.293471926256523,0.4509359224405899,9.474386580224484,0.0010874325336761744,2584,919.5972798601124,1.7865344539747505e-08,0.0005620552823373908,0.2946839527401476,2.27903734754704,1.366613605267911e-07,3.2724825386551336e-16,1.366613605267911e-07,0.15789933569883027,741.2309010414174,1e-05,8.210222192380766e-06,0.8210222192380765,True,Z_linear_reducibility_proxy,strong_pre_interval_candidate,5,artifacts/proof_audit/theorem_iii_trackb/phase4i_selected_seed/K0p9716350000_M8192_H1_SELECTED.npz
0.971635,8192,4,32768,1.001,frac:0.90,3685,0.5,1.6712770139169775e-09,2.0148550871131545e-05,0.0001717048746847638,0.0001717048746847638,1.4650834088702989,-0.23879527226722919,7.293471926256523,0.4509359224405899,9.474386580224484,0.0010874325336761744,2584,919.5972798601124,1.7865344539747505e-08,0.0005620552823373908,0.294890685909544,2.280041225898743,1.3664622064755406e-07,3.2724825386551336e-16,1.3664622064755406e-07,0.15789933569883027,741.2309010414174,1e-05,8.210237332260003e-06,0.8210237332260002,True,Z_linear_reducibility_proxy,strong_pre_interval_candidate,5,artifacts/proof_audit/theorem_iii_trackb/phase4i_selected_seed/K0p9716350000_M8192_H1_SELECTED.npz
