K,M,base_embedding_residual_linf_max_lift_aware,base_old_shifted_normal_upper_triangular_defect_linf_max,base_scalar_residual_linf,base_shifted_normal_target_det_defect_linf,base_source_frame_det_defect_linf,base_tangent_residual_linf_max,base_target_frame_det_defect_linf,base_upper_triangular_defect_linf_max,best_any_case,best_any_cutoff_mode,best_any_scalar_residual_linf,best_any_tangent_residual_linf_max,best_any_upper_triangular_defect_linf_max,best_full_a21_linf,best_full_case,best_full_grid_size,best_full_scalar_residual_linf,best_full_source_frame_det_defect_linf,best_full_tangent_residual_linf_max,best_full_target_frame_det_defect_linf,best_full_upper_triangular_defect_linf_max,npz_path,recommendation_label,recommendation_score,record_path,twist_average_best_full
0.971635,4096,1.6525503765407734e-07,0.034579828029396964,1.6525503766795513e-07,0.03331878715534731,2.220446049250313e-16,0.002078167642383777,3.3306690738754696e-16,0.00528238933349412,L4096_cut_0.950,1945,1.5321293372894118e-08,0.0002186571481865851,0.0007811447014695189,0.00528238933349412,L4096_full,4096,1.6525503766795513e-07,2.220446049250313e-16,0.002078167642383777,3.3306690738754696e-16,0.00528238933349412,artifacts/proof_audit/theorem_iii_trackb/phase4f_lsq_polish_M4096_os4_cutoffs_from_os2/embeddings/K0p9716350000_M4096_lsqdealias4_cut1945_fromM1024.npz,needs_target_frame_or_refined_seed,2,artifacts/proof_audit/theorem_iii_trackb/phase4f_M4096_os4_cutoffs_from_os2_audit/records/K0p9716350000_M4096_lsqdealias4_cut1945_fromM1024.phase4d_target_frame_audit.json,1.4644757035074127
0.971635,4096,1.3877214061208676e-06,0.06486432889898242,1.3877214059543341e-06,0.03335973508988699,2.220446049250313e-16,0.015771375175930302,2.220446049250313e-16,0.06451900445364345,L4096_cut_0.900,1843,2.590415390524292e-08,0.0003018412164466078,0.0010918911363226869,0.0645190044492594,L16384_full,16384,1.387721406814757e-06,3.3306690738754696e-16,0.01666413208300721,3.3306690738754696e-16,0.0645190044492594,artifacts/proof_audit/theorem_iii_trackb/phase4f_lsq_polish_M4096_os4_cutoffs_from_os2/embeddings/K0p9716350000_M4096_lsqdealias4_cut1843_fromM1024.npz,needs_target_frame_or_refined_seed,1,artifacts/proof_audit/theorem_iii_trackb/phase4f_M4096_os4_cutoffs_from_os2_audit/records/K0p9716350000_M4096_lsqdealias4_cut1843_fromM1024.phase4d_target_frame_audit.json,1.464505639048896
0.971635,4096,4.9557540009459444e-06,0.1864079823247917,4.9557540009459444e-06,0.014889804912550542,2.220446049250313e-16,0.04611561115955909,2.220446049250313e-16,0.1852723671926031,L8192_cut_0.750,1536,4.6885137522378884e-08,0.000495349156022229,0.0016648631474097339,0.1852723671926031,L4096_full,4096,4.9557540009459444e-06,2.220446049250313e-16,0.04611561115955909,2.220446049250313e-16,0.1852723671926031,artifacts/proof_audit/theorem_iii_trackb/phase4f_lsq_polish_M4096_os4_cutoffs_from_os2/embeddings/K0p9716350000_M4096_lsqdealias4_cut1536_fromM1024.npz,needs_target_frame_or_refined_seed,1,artifacts/proof_audit/theorem_iii_trackb/phase4f_M4096_os4_cutoffs_from_os2_audit/records/K0p9716350000_M4096_lsqdealias4_cut1536_fromM1024.phase4d_target_frame_audit.json,1.4651099417705025
0.971635,4096,2.6926696050422194e-05,0.8583296131203232,2.6926696050415255e-05,0.06333907066732236,2.220446049250313e-16,0.2317348661896088,3.3306690738754696e-16,0.8768165891845285,L4096_cut_0.750,1536,2.6935093555079115e-05,0.22427990819833962,0.8577097753586926,0.8768165891843047,L8192_full,8192,2.6936753707712535e-05,2.220446049250313e-16,0.2506645840070031,3.3306690738754696e-16,0.8768165891843047,artifacts/proof_audit/theorem_iii_trackb/phase4f_lsq_polish_M4096_os4_cutoffs_from_os2/embeddings/K0p9716350000_M4096_lsqdealias4_cut1365_fromM1024.npz,needs_target_frame_or_refined_seed,1,artifacts/proof_audit/theorem_iii_trackb/phase4f_M4096_os4_cutoffs_from_os2_audit/records/K0p9716350000_M4096_lsqdealias4_cut1365_fromM1024.phase4d_target_frame_audit.json,1.4579328532377342
