K,M,nu,cutoff_spec,cutoff_mode_native_units,grid_factor,grid_size,radius,scalar_residual_linf,derivative_residual_linf,residual_l1_nu_total,derivative_l1_nu_total,small_divisor_min_denominator,small_divisor_min_mode,cohomology_inverse_linf_resolved,Y_component_bound,Z_component_bound,Q_component_bound,tail_residual_component_bound,upper_triangular_defect_linf_max,a21_linf,twist_average,twist_min,twist_max,radii_lhs_component_bound,radii_margin_component,radii_relative_margin_component,dominant_component_term,recommendation_label,recommendation_score,record_path,npz_path
0.971635,8192,1.001,frac:0.95,3890,4,32768,3e-05,1.6712769965697427e-09,2.0148552565046884e-05,1.7675716947256176e-08,0.00017249651417733627,0.0010874325336761744,-2584,919.5972798601124,1.5132749708207444e-07,0.1736892782720445,402.6266876293419,5.26438815035794e-09,0.00017170488259665717,0.00017170488259665717,1.4650834088702989,-0.23879527226646968,7.293471926245841,5.729634252260176e-06,2.4270365747739823e-05,0.8090121915913274,Zr_bound,component_ready_candidate,5,artifacts/proof_audit/theorem_iii_trackb/phase5b_interval_components_selected_seed_stress_tail075/records/K0p9716350000_M8192_nu1p001_frac0p95_g4_r3em05.phase5b_interval_component.json,artifacts/proof_audit/theorem_iii_trackb/phase4i_selected_seed/K0p9716350000_M8192_H1_SELECTED.npz
0.971635,8192,1.001,full,4095,4,32768,3e-05,1.6712769965697427e-09,2.0148552565046884e-05,1.7675716947256176e-08,0.00017249651417733627,0.0010874325336761744,-2584,919.5972798601124,1.513698917662808e-07,0.1736892782720445,402.6266876293419,5.260275036291551e-09,0.00017170488259665717,0.00017170488259665717,1.4650834088702989,-0.23879527226646968,7.293471926245841,5.729672533830316e-06,2.4270327466169686e-05,0.8090109155389895,Zr_bound,component_ready_candidate,5,artifacts/proof_audit/theorem_iii_trackb/phase5b_interval_components_selected_seed_stress_tail075/records/K0p9716350000_M8192_nu1p001_full_g4_r3em05.phase5b_interval_component.json,artifacts/proof_audit/theorem_iii_trackb/phase4i_selected_seed/K0p9716350000_M8192_H1_SELECTED.npz
0.971635,8192,1.001,frac:0.95,3890,4,32768,1e-05,1.6712769965697427e-09,2.0148552565046884e-05,1.7675716947256176e-08,0.00017249651417733627,0.0010874325336761744,-2584,919.5972798601124,1.5132749708207444e-07,0.1736892782720445,402.6266876293419,5.26438815035794e-09,0.00017170488259665717,0.00017170488259665717,1.4650834088702989,-0.23879527226646968,7.293471926245841,1.9337473367158114e-06,8.066252663284189e-06,0.8066252663284188,Zr_bound,component_ready_candidate,5,artifacts/proof_audit/theorem_iii_trackb/phase5b_interval_components_selected_seed_stress_tail075/records/K0p9716350000_M8192_nu1p001_frac0p95_g4_r1em05.phase5b_interval_component.json,artifacts/proof_audit/theorem_iii_trackb/phase4i_selected_seed/K0p9716350000_M8192_H1_SELECTED.npz
0.971635,8192,1.001,full,4095,4,32768,1e-05,1.6712769965697427e-09,2.0148552565046884e-05,1.7675716947256176e-08,0.00017249651417733627,0.0010874325336761744,-2584,919.5972798601124,1.513698917662808e-07,0.1736892782720445,402.6266876293419,5.260275036291551e-09,0.00017170488259665717,0.00017170488259665717,1.4650834088702989,-0.23879527226646968,7.293471926245841,1.9337856182859517e-06,8.066214381714048e-06,0.8066214381714047,Zr_bound,component_ready_candidate,5,artifacts/proof_audit/theorem_iii_trackb/phase5b_interval_components_selected_seed_stress_tail075/records/K0p9716350000_M8192_nu1p001_full_g4_r1em05.phase5b_interval_component.json,artifacts/proof_audit/theorem_iii_trackb/phase4i_selected_seed/K0p9716350000_M8192_H1_SELECTED.npz
0.971635,8192,1.001,frac:0.95,3890,4,32768,3e-06,1.6712769965697427e-09,2.0148552565046884e-05,1.7675716947256176e-08,0.00017249651417733627,0.0010874325336761744,-2584,919.5972798601124,1.5132749708207444e-07,0.1736892782720445,402.6266876293419,5.26438815035794e-09,0.00017170488259665717,0.00017170488259665717,1.4650834088702989,-0.23879527226646968,7.293471926245841,6.812833602372299e-07,2.3187166397627704e-06,0.7729055465875901,Zr_bound,component_ready_candidate,5,artifacts/proof_audit/theorem_iii_trackb/phase5b_interval_components_selected_seed_stress_tail075/records/K0p9716350000_M8192_nu1p001_frac0p95_g4_r3em06.phase5b_interval_component.json,artifacts/proof_audit/theorem_iii_trackb/phase4i_selected_seed/K0p9716350000_M8192_H1_SELECTED.npz
0.971635,8192,1.001,full,4095,4,32768,3e-06,1.6712769965697427e-09,2.0148552565046884e-05,1.7675716947256176e-08,0.00017249651417733627,0.0010874325336761744,-2584,919.5972798601124,1.513698917662808e-07,0.1736892782720445,402.6266876293419,5.260275036291551e-09,0.00017170488259665717,0.00017170488259665717,1.4650834088702989,-0.23879527226646968,7.293471926245841,6.813216418073699e-07,2.31867835819263e-06,0.77289278606421,Zr_bound,component_ready_candidate,5,artifacts/proof_audit/theorem_iii_trackb/phase5b_interval_components_selected_seed_stress_tail075/records/K0p9716350000_M8192_nu1p001_full_g4_r3em06.phase5b_interval_component.json,artifacts/proof_audit/theorem_iii_trackb/phase4i_selected_seed/K0p9716350000_M8192_H1_SELECTED.npz
