K,M,base_scalar_residual_linf,base_embedding_residual_linf_max_lift_aware,base_lift_residual_matches_scalar_linf,base_tangent_residual_linf_max,base_upper_triangular_defect_linf_max,best_full_case,best_full_grid_size,best_full_scalar_residual_linf,best_full_tangent_residual_linf_max,best_full_upper_triangular_defect_linf_max,best_any_case,best_any_cutoff_mode,best_any_scalar_residual_linf,best_any_tangent_residual_linf_max,best_any_upper_triangular_defect_linf_max,twist_average_base,frame_det_defect_base,recommendation_label,recommendation_score,npz_path,record_path
0.9663,1024,1.2032909391113122e-14,1.2101430968414206e-14,3.885780586188048e-16,3.1489642824844566e-05,0.001400808110718299,L1024_full,1024,1.2032909391113122e-14,3.1489642824844566e-05,0.001400808110718299,L1024_full,,1.2032909391113122e-14,3.1489642824844566e-05,0.001400808110718299,1.2454358801715855,0.0013904610099069181,moderate_needs_refined_seed_or_filter_strategy,2,artifacts/proof_audit/theorem_iii_trackb/phase1_seed/embeddings/K0p9663000000_M1024_steps44.npz,artifacts/proof_audit/theorem_iii_trackb/phase4b_lift_alias_targeted/records/K0p9663000000_M1024_steps44.phase4b_lift_alias_audit.json
0.9715,1024,4.482247906167913e-13,4.483080573436382e-13,4.163336342344337e-16,0.000503238478306578,0.019647433827966188,L8192_full,8192,1.513879712700117e-07,0.0005032384782125421,0.001220448261300815,L8192_cut_0.950,486,1.4447698323816205e-07,0.0004819670726710079,0.0015466010863338653,1.3624009123150345,0.019528583048382897,needs_high_resolution_refinement,1,artifacts/proof_audit/theorem_iii_trackb/phase1_seed/embeddings/K0p9715000000_M1024_steps44.npz,artifacts/proof_audit/theorem_iii_trackb/phase4b_lift_alias_targeted/records/K0p9715000000_M1024_steps44.phase4b_lift_alias_audit.json
0.971635,1024,5.707517791720856e-13,5.706546346573305e-13,4.163336342344337e-16,0.0005368187128099722,0.020836362724934054,L1024_full,1024,5.707517791720856e-13,0.0005368187128099722,0.020836362724934054,L1024_cut_0.950,486,6.291297317828626e-08,0.0005089368965471852,0.0218628093450004,1.3684343216053754,0.02071108815739997,needs_high_resolution_refinement,1,artifacts/proof_audit/theorem_iii_trackb/phase1_seed/embeddings/K0p9716350000_M1024_steps44.npz,artifacts/proof_audit/theorem_iii_trackb/phase4b_lift_alias_targeted/records/K0p9716350000_M1024_steps44.phase4b_lift_alias_audit.json
0.97165,1024,8.193584699611733e-13,8.193445921733655e-13,4.0245584642661925e-16,0.0005406685473388073,0.02097199990859777,L1024_full,1024,8.193584699611733e-13,0.0005406685473388073,0.02097199990859777,L4096_cut_0.950,486,1.5356796698173802e-07,0.0005120134908289664,0.0017350243139162558,1.3691216900499712,0.020845996149553292,needs_high_resolution_refinement,1,artifacts/proof_audit/theorem_iii_trackb/phase1_seed/embeddings/K0p9716500000_M1024_steps44.npz,artifacts/proof_audit/theorem_iii_trackb/phase4b_lift_alias_targeted/records/K0p9716500000_M1024_steps44.phase4b_lift_alias_audit.json
